person_id,person_name,winner,winner_bic,power_rss,power_r2,power_aic,power_bic,exp_rss,exp_r2,exp_aic,exp_bic,delta_aic,delta_aic_abs,delta_bic
2017GARR05,Luke Garrett,power_law,power_law,255.29264706388167,0.8070353657408803,-888.531969070035,-874.512075166732,256.18825715361623,0.8063584129363557,-885.7618625062728,-871.7419686029698,2.7701065637621696,2.7701065637621696,2.7701065637621696
2010HULL01,Katie Hull,power_law,power_law,309.9521787842224,0.7000534012667021,-535.4132875160699,-521.8294137632022,469.5091431856493,0.5456471023203884,-251.36877908425515,-237.7849053313875,284.04450843181473,284.04450843181473,284.0445084318147
2012MAHV01,Paul Mahvi,power_law,power_law,335.02230849370983,0.9021680114953138,-511.55584620062734,-497.8983225395236,595.03591207002,0.8262397905045697,-108.88417494998403,-95.22665128888026,402.6716712506433,402.6716712506433,402.6716712506433
2014ZAKR01,Karol Zakrzewski,power_law,power_law,306.5632479701497,0.6511403989137625,-479.00636116344714,-465.5846890743903,364.21760118162837,0.5855315081043856,-367.33820282212383,-353.916530733067,111.6681583413233,111.6681583413233,111.6681583413233
2013WALL03,Daniel Wallin,power_law,power_law,374.9302971453501,0.7507986151293685,-448.99186202133814,-435.2918447319284,395.0349397705365,0.7374358519099873,-411.85342993981817,-398.1534126504084,37.138432081519966,37.138432081519966,37.138432081519966
2013ROGA02,Przemysław Rogalski,power_law,power_law,422.0795972701992,0.7606893917506352,-240.74194128494068,-227.42389017164038,457.21645106777595,0.7407675051949953,-190.68510446624126,-177.36705335294096,50.05683681869942,50.05683681869942,50.05683681869942
2009PROV01,Matteo Provasi,power_law,power_law,566.0968999706879,0.8653007034690492,-204.98095621411085,-191.12073659451977,1325.8240493410367,0.6845282728463954,433.2871969547509,447.147416574342,638.2681531688618,638.2681531688618,638.2681531688618
2009LIUE01,Evan Liu,power_law,power_law,552.6571360418789,0.8746710193615537,-159.43977307377287,-145.78653206864266,1328.2253798167544,0.6987913082914888,454.3630860174664,468.0163270225966,613.8028590912393,613.8028590912393,613.8028590912393
2010ROSE03,Dennis Rosero,power_law,power_law,703.6339824528771,0.5819918409016613,-51.48929200468061,-37.59328667249372,777.1349847448953,0.5383270671326843,23.92172311873188,37.81772845091877,75.41101512341248,75.41101512341248,75.41101512341248
2011EDUA01,Eduard Esteban García Domínguez,power_law,power_law,1604.8257381581093,0.9034085219892318,542.5007368164354,556.7715339841781,1930.0261365801953,0.883835314514798,701.1865339531236,715.4573311208662,158.68579713668817,158.68579713668817,158.68579713668817
